 id, corr, fail, aver, std, %corr, %fail
  1,    2,    0, 1.000, 0.000, 1.000, 0.000
  2,    2,    0, 1.000, 0.000, 1.000, 0.000
  3,    2,    0, 1.000, 0.000, 1.000, 0.000
  4,    2,    0, 1.000, 0.000, 1.000, 0.000
  5,    2,    0, 1.000, 0.000, 1.000, 0.000
  6,    2,    0, 1.000, 0.000, 1.000, 0.000
  7,    2,    0, 1.000, 0.000, 1.000, 0.000
  8,    2,    0, 1.000, 0.000, 1.000, 0.000
  9,    2,    0, 1.000, 0.000, 1.000, 0.000
 10,    2,    0, 1.000, 0.000, 1.000, 0.000
 11,    2,    0, 1.000, 0.000, 1.000, 0.000
 12,    1,    1, 0.500, 0.500, 0.500, 0.500
 13,    1,    1, 0.500, 0.500, 0.500, 0.500
 14,    1,    1, 0.500, 0.500, 0.500, 0.500
 15,    1,    1, 0.500, 0.500, 0.500, 0.500
 16,    2,    0, 1.000, 0.000, 1.000, 0.000
 17,    2,    0, 1.000, 0.000, 1.000, 0.000
 18,    2,    0, 1.000, 0.000, 1.000, 0.000
