"","a","b","g","u","a","b","g","u","a","b","g","u","Mean","SD"
"264",1,-3.43105259038219,0,1,1.09499628671557,-3.16216725718413,0,1,1.01897740537477,-3.16657444489184,0.157233004303161,1,0.948717948717949,0.223455865030959
"3078",1,-2.22422544553823,0,1,0.99939324779951,-2.14847800027528,0,1,1.07371099512155,-1.90267773458288,0.131625328101302,1,0.847826086956522,0.36315844747302
"3079",1,0.796501810547122,0,1,1.13425281227971,0.726836775827883,0,1,1.10605337732213,0.790065749472064,0.0232745756481588,1,0.326530612244898,0.473803541479343
"3081",1,0.873872847008936,0,1,2.90997392118154,0.322356639651551,0,1,3.05423030341691,0.299080356100071,0.00920964937827986,1,0.266666666666667,0.457737708217063
"3083",1,0.408142385185643,0,1,2.02537011412326,0.0553267283517601,0,1,2.38309932900301,0.049075922699199,0.0307423971858705,1,0.333333333333333,0.5
"3084",1,-1.30731145032327,0,1,-1.52838582280078,-0.557037567715426,0,1,-1.23941817893781,-0.727622774402607,0.114500681014704,1,0.6,0.547722557505166
"3085",1,0.168414943775013,0,1,0.365908797135959,0.631255477050235,0,1,0.643170145993182,1.96747124104137,0.27236097546642,1,0.431818181818182,0.501055967385312
"3086",1,0.0441907190302614,0,1,0.962324395242071,0.0691692199197128,0,1,0.99577384713042,0.139892464098059,0.0387966437904258,1,0.466666666666667,0.504524979109513
"3087",1,-0.819480099801294,0,1,1.18404205263521,-0.814267372001649,0,1,1.30172115303355,-0.609938487522126,0.108411641604418,1,0.571428571428571,0.513552591013095
